"","M","year","Country","President","Positive","Negative","DK-Neutral","Neutral","DK","QuestType","SampleType","SampleSize","SampleMode","Question","Institute","SurveyName","Source","Notes","PresidentS","date","Q","presUsed","useM","popM.li","latentM"
"122","1993-10",1993,"Brazil","Franco",13,36,0,NA,NA,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Jos_ Roberto Toledo",NA,"FRANCO",1993-10-15,"1993-4","FRANCO",TRUE,13,13.886984509296
"123","1993-11",1993,"Brazil","Franco",12,41,47,43,4,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"FRANCO",1993-11-11,"1993-4","FRANCO",TRUE,12,15.777845507005
"124","1993-12",1993,"Brazil","Franco",18,34,48,45,3,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"FRANCO",1993-12-15,"1993-4","FRANCO",TRUE,18,19.318976901527
"125","1994-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4,18.8306455091533
"126","1994-02",1994,"Brazil","Franco",12.8,36.2,51.1,44.8,6.3,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Cesop00339",NA,"FRANCO",1994-02-10,"1994-1","FRANCO",TRUE,12.8,13.9255458925448
"127","1994-03",1994,"Brazil","Franco",15,37,49,45,4,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"FRANCO",1994-03-01,"1994-1","FRANCO",TRUE,15,17.2934578318562
"128","1994-04",1994,"Brazil","Franco",16,38,47,43,4,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"FRANCO",1994-04-15,"1994-2","FRANCO",TRUE,17.5,17.9316645116703
"129","1994-04",1994,"Brazil","Franco",19,34,0,NA,NA,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Jos_ Roberto Toledo",NA,"FRANCO",1994-04-15,"1994-2","FRANCO",TRUE,17.5,17.9316645116703
"130","1994-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.8333333333333,21.6680067796345
"131","1994-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.1666666666667,22.2835036970895
"132","1994-07",1994,"Brazil","Franco",30.5,16.1,53.5,48.7,4.8,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Cesop00355",NA,"FRANCO",1994-07-19,"1994-3","FRANCO",TRUE,30.5,23.2394872109067
"133","1994-08",1994,"Brazil","Franco",37,13,50,46,4,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"FRANCO",1994-08-09,"1994-3","FRANCO",TRUE,37,30.118812269165
"134","1994-09",1994,"Brazil","Franco",32,13,55,49,6,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"FRANCO",1994-09-28,"1994-3","FRANCO",TRUE,32.45,29.5796470252879
"135","1994-09",1994,"Brazil","Franco",32.9,13.8,53.3,48.6,4.7,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Cesop00377",NA,"FRANCO",1994-09-29,"1994-3","FRANCO",TRUE,32.45,29.5796470252879
"136","1994-10",1994,"Brazil","Franco",40,10,51,46,5,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"FRANCO",1994-10-20,"1994-4","FRANCO",TRUE,40,33.2881500271749
"137","1994-11",1994,"Brazil","Franco",41.9,8.6,49.6,45.6,4,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Cesop00388",NA,"FRANCO",1994-11-29,"1994-4","FRANCO",TRUE,41.9,31.6919280180849
"138","1994-12",1994,"Brazil","Franco",41,8,52,48,4,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"FRANCO",1994-12-14,"1994-4","FRANCO",TRUE,43.5,33.8268095295821
"139","1994-12",1994,"Brazil","Franco",46,11,0,NA,NA,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Jos_ Roberto Toledo",NA,"FRANCO",1994-12-15,"1994-4","FRANCO",TRUE,43.5,33.8268095295821
"140","1995-01",1995,"Brazil","Cardoso",35.1,15.5,49.4,35.2,14.2,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Cesop00391",NA,"CARDOSO",1995-01-27,"1995-1","CARDOSO",TRUE,35.1,31.6131059931556
"141","1995-02",1995,"Brazil","Cardoso",57,9,33,23,10,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1995-02-07,"1995-1","CARDOSO",TRUE,57,41.0525421245866
"142","1995-03",1995,"Brazil","Cardoso",43,11,46,40,6,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1995-03-13,"1995-1","CARDOSO",TRUE,41,34.3703471910944
"143","1995-03",1995,"Brazil","Cardoso",41,12,47,43,4,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"CARDOSO",1995-03-15,"1995-1","CARDOSO",TRUE,41,34.3703471910944
"144","1995-03",1995,"Brazil","Cardoso",39,16,45,40,5,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",1995-03-23,"1995-1","CARDOSO",TRUE,41,34.3703471910944
"145","1995-04",1995,"Brazil","Cardoso",39,17,44,40,4,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1995-04-16,"1995-2","CARDOSO",TRUE,39,32.0608338417147
"146","1995-05",1995,"Brazil","Cardoso",39,14,47,43,4,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"CARDOSO",1995-05-15,"1995-2","CARDOSO",TRUE,38,29.90405672296
"147","1995-05",1995,"Brazil","Cardoso",37,17,45,42,3,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1995-05-23,"1995-2","CARDOSO",TRUE,38,29.90405672296
"148","1995-06",1995,"Brazil","Cardoso",41,17,42,39,3,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1995-06-20,"1995-2","CARDOSO",TRUE,40.5,33.3015903974719
"149","1995-06",1995,"Brazil","Cardoso",40,17,43,40,3,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",1995-06-22,"1995-2","CARDOSO",TRUE,40.5,33.3015903974719
"150","1995-07",1995,"Brazil","Cardoso",42,16,42,38,4,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"CARDOSO",1995-07-15,"1995-3","CARDOSO",TRUE,42,32.3595078104115
"151","1995-07",1995,"Brazil","Cardoso",42,14,43,41,2,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1995-07-24,"1995-3","CARDOSO",TRUE,42,32.3595078104115
"152","1995-08",1995,"Brazil","Cardoso",39,17,44,41,3,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1995-08-29,"1995-3","CARDOSO",TRUE,39,32.4610080744898
"153","1995-09",1995,"Brazil","Cardoso",40,15,45,43,2,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"CARDOSO",1995-09-15,"1995-3","CARDOSO",TRUE,41,32.8092725244917
"154","1995-09",1995,"Brazil","Cardoso",42,15,43,39,4,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",1995-09-18,"1995-3","CARDOSO",TRUE,41,32.8092725244917
"155","1995-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,33.8808762119411
"156","1995-11",1995,"Brazil","Cardoso",43,15,42,40,2,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"CARDOSO",1995-11-15,"1995-4","CARDOSO",TRUE,43,32.4554534615416
"157","1995-12",1995,"Brazil","Cardoso",41,15,44,40,4,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",1995-12-15,"1995-4","CARDOSO",TRUE,41,34.0519750924193
"158","1996-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,35.0551887908886
"159","1996-02",1996,"Brazil","Cardoso",41,17,42,39,3,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"CARDOSO",1996-02-15,"1996-1","CARDOSO",TRUE,41,31.836740384965
"160","1996-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.5,29.0296310807436
"161","1996-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,28.4698949423829
"162","1996-05",1996,"Brazil","Cardoso",26,26,48,45,3,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1996-05-14,"1996-2","CARDOSO",TRUE,30.5,26.5179823762925
"163","1996-05",1996,"Brazil","Cardoso",35,NA,0,NA,NA,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"CNI-Ibope PDF report July 2012",NA,"CARDOSO",1996-05-15,"1996-2","CARDOSO",TRUE,30.5,26.5179823762925
"164","1996-06",1996,"Brazil","Cardoso",30,25,46,41,5,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",1996-06-25,"1996-2","CARDOSO",TRUE,30,27.2860299423525
"165","1996-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,30.1407424183275
"166","1996-08",1996,"Brazil","Cardoso",38,19,42,40,2,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"CARDOSO",1996-08-15,"1996-3","CARDOSO",TRUE,38,29.1260191757533
"167","1996-09",1996,"Brazil","Cardoso",43,17,40,38,2,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",1996-09-20,"1996-3","CARDOSO",TRUE,43,34.3189746491555
"168","1996-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.7,37.0531811332152
"169","1996-11",1996,"Brazil","Cardoso",46.4,15.6,38.1,35.7,2.4,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Cesop01190",NA,"CARDOSO",1996-11-15,"1996-4","CARDOSO",TRUE,46.4,34.9162805791514
"170","1996-12",1996,"Brazil","Cardoso",47,12,41,38,3,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",1996-12-13,"1996-4","CARDOSO",TRUE,46.5,36.099547563301
"171","1996-12",1996,"Brazil","Cardoso",46,16,38,36,2,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"CARDOSO",1996-12-15,"1996-4","CARDOSO",TRUE,46.5,36.099547563301
"172","1997-01",1997,"Brazil","Cardoso",51,13.4,35.7,33.8,1.9,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Cesop01194",NA,"CARDOSO",1997-01-15,"1997-1","CARDOSO",TRUE,51,37.029830531176
"173","1997-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.75,37.1154313648277
"174","1997-03",1997,"Brazil","Cardoso",42,16,41,40,1,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1997-03-05,"1997-1","CARDOSO",TRUE,46.5,36.8500708250151
"175","1997-03",1997,"Brazil","Cardoso",51,14,36,34,2,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"CARDOSO",1997-03-15,"1997-1","CARDOSO",TRUE,46.5,36.8500708250151
"176","1997-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.25,33.0873494600117
"177","1997-05",1997,"Brazil","Cardoso",42,18,40,38,2,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",1997-05-06,"1997-2","CARDOSO",TRUE,38,31.7269911642232
"178","1997-05",1997,"Brazil","Cardoso",34,26,41,37,4,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"CARDOSO",1997-05-15,"1997-2","CARDOSO",TRUE,38,31.7269911642232
"179","1997-06",1997,"Brazil","Cardoso",39,16,44,42,2,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",1997-06-20,"1997-2","CARDOSO",TRUE,39,32.958069383375
"180","1997-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.5,33.4577357264271
"181","1997-08",1997,"Brazil","Cardoso",38,24,38,35,3,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"CARDOSO",1997-08-15,"1997-3","CARDOSO",TRUE,38,30.1153955293107
"182","1997-09",1997,"Brazil","Cardoso",36,20,43,41,2,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1997-09-09,"1997-3","CARDOSO",TRUE,39.5,33.9355944990024
"183","1997-09",1997,"Brazil","Cardoso",43,15,42,41,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",1997-09-16,"1997-3","CARDOSO",TRUE,39.5,33.9355944990024
"184","1997-10",1997,"Brazil","Cardoso",43,17,40,37,3,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"CARDOSO",1997-10-15,"1997-4","CARDOSO",TRUE,43,32.64726632172
"185","1997-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.25,30.7543806203166
"186","1997-12",1997,"Brazil","Cardoso",38,19,43,41,2,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1997-12-09,"1997-4","CARDOSO",TRUE,37.5,31.8446956709533
"187","1997-12",1997,"Brazil","Cardoso",37,20,43,40,3,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",1997-12-17,"1997-4","CARDOSO",TRUE,37.5,31.8446956709533
"188","1998-01",1998,"Brazil","Cardoso",42,16,43,41,2,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"CARDOSO",1998-01-15,"1998-1","CARDOSO",TRUE,37.5,31.2868796624934
"189","1998-01",1998,"Brazil","Cardoso",33,21,47,45,2,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1998-01-29,"1998-1","CARDOSO",TRUE,37.5,31.2868796624934
"190","1998-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,29.9600471840871
"191","1998-03",1998,"Brazil","Cardoso",38,21,41,39,2,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",1998-03-11,"1998-1","CARDOSO",TRUE,38.5,30.8935992210622
"192","1998-03",1998,"Brazil","Cardoso",39,21,41,38,3,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"CARDOSO",1998-03-15,"1998-1","CARDOSO",TRUE,38.5,30.8935992210622
"193","1998-04",1998,"Brazil","Cardoso",31,23,46,45,1,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1998-04-06,"1998-2","CARDOSO",TRUE,33,30.2579178767362
"194","1998-04",1998,"Brazil","Cardoso",35,21,44,41,3,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",1998-04-30,"1998-2","CARDOSO",TRUE,33,30.2579178767362
"195","1998-05",1998,"Brazil","Cardoso",33,26,41,39,2,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"CARDOSO",1998-05-15,"1998-2","CARDOSO",TRUE,31,27.7877763149952
"196","1998-05",1998,"Brazil","Cardoso",29,26,45,42,3,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1998-05-16,"1998-2","CARDOSO",TRUE,31,27.7877763149952
"197","1998-05",1998,"Brazil","Cardoso",31,24,45,43,2,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",1998-05-28,"1998-2","CARDOSO",TRUE,31,27.7877763149952
"198","1998-06",1998,"Brazil","Cardoso",31,25,44,41,3,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",1998-06-09,"1998-2","CARDOSO",TRUE,31,27.9573667535675
"199","1998-06",1998,"Brazil","Cardoso",31,27,42,39,3,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1998-06-16,"1998-2","CARDOSO",TRUE,31,27.9573667535675
"200","1998-07",1998,"Brazil","Cardoso",38,19,43,41,2,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",1998-07-09,"1998-3","CARDOSO",TRUE,38.3333333333333,31.0910997156026
"201","1998-07",1998,"Brazil","Cardoso",41,17,43,40,3,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"CARDOSO",1998-07-15,"1998-3","CARDOSO",TRUE,38.3333333333333,31.0910997156026
"202","1998-07",1998,"Brazil","Cardoso",36,22,42,41,1,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1998-07-21,"1998-3","CARDOSO",TRUE,38.3333333333333,31.0910997156026
"203","1998-08",1998,"Brazil","Cardoso",40,18,42,41,1,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1998-08-11,"1998-3","CARDOSO",TRUE,39.5,32.9410809929341
"204","1998-08",1998,"Brazil","Cardoso",39,18,43,40,3,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",1998-08-14,"1998-3","CARDOSO",TRUE,39.5,32.9410809929341
"205","1998-09",1998,"Brazil","Cardoso",43,17,39,37,2,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",1998-09-02,"1998-3","CARDOSO",TRUE,44,35.6040865455982
"206","1998-09",1998,"Brazil","Cardoso",45,17,38,36,2,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1998-09-15,"1998-3","CARDOSO",TRUE,44,35.6040865455982
"207","1998-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5,33.7165182222759
"208","1998-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,33.4454574553671
"209","1998-12",1998,"Brazil","Cardoso",35,25,40,37,3,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",1998-12-11,"1998-4","CARDOSO",TRUE,33.5,31.125536373831
"210","1998-12",1998,"Brazil","Cardoso",32,23,44,43,1,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1998-12-20,"1998-4","CARDOSO",TRUE,33.5,31.125536373831
"211","1999-01",1999,"Brazil","Cardoso",27,33,40,37,3,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1999-01-24,"1999-1","CARDOSO",TRUE,27,26.8719144803378
"212","1999-02",1999,"Brazil","Cardoso",21,36,43,39,4,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",1999-02-04,"1999-1","CARDOSO",TRUE,21,22.6941289842112
"213","1999-03",1999,"Brazil","Cardoso",19,47,35,32,3,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1999-03-01,"1999-1","CARDOSO",TRUE,19,19.3007333082106
"214","1999-03",1999,"Brazil","Cardoso",22,41,37,34,3,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"CARDOSO",1999-03-15,"1999-1","CARDOSO",TRUE,19,19.3007333082106
"215","1999-03",1999,"Brazil","Cardoso",16,43,40,39,1,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1999-03-29,"1999-1","CARDOSO",TRUE,19,19.3007333082106
"216","1999-04",1999,"Brazil","Cardoso",17,46,37,35,2,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1999-04-25,"1999-2","CARDOSO",TRUE,17,17.6073664669927
"217","1999-05",1999,"Brazil","Cardoso",18,44,38,35,3,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"CARDOSO",1999-05-15,"1999-2","CARDOSO",TRUE,16.5,16.2820871716634
"218","1999-05",1999,"Brazil","Cardoso",15,51,34,32,2,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1999-05-23,"1999-2","CARDOSO",TRUE,16.5,16.2820871716634
"219","1999-06",1999,"Brazil","Cardoso",16,44,41,38,3,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",1999-06-11,"1999-2","CARDOSO",TRUE,16,17.8649835413305
"220","1999-07",1999,"Brazil","Cardoso",12,53,35,33,2,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1999-07-05,"1999-3","CARDOSO",TRUE,14,15.2837472339516
"221","1999-07",1999,"Brazil","Cardoso",16,52,33,30,3,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"CARDOSO",1999-07-15,"1999-3","CARDOSO",TRUE,14,15.2837472339516
"222","1999-08",1999,"Brazil","Cardoso",12,59,29,28,1,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1999-08-10,"1999-3","CARDOSO",TRUE,12,13.4774444973203
"223","1999-09",1999,"Brazil","Cardoso",8,65,27,26,1,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1999-09-06,"1999-3","CARDOSO",TRUE,12.3333333333333,14.6207208626898
"224","1999-09",1999,"Brazil","Cardoso",13,56,30,27,3,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",1999-09-15,"1999-3","CARDOSO",TRUE,12.3333333333333,14.6207208626898
"225","1999-09",1999,"Brazil","Cardoso",16,51,33,30,3,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"CARDOSO",1999-09-15,"1999-3","CARDOSO",TRUE,12.3333333333333,14.6207208626898
"226","1999-10",1999,"Brazil","Cardoso",8,62,29,27,2,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1999-10-10,"1999-4","CARDOSO",TRUE,8,10.7914789738995
"227","1999-11",1999,"Brazil","Cardoso",11,59,30,28,2,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1999-11-09,"1999-4","CARDOSO",TRUE,14,13.844793837393
"228","1999-11",1999,"Brazil","Cardoso",17,48,36,32,4,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"CARDOSO",1999-11-15,"1999-4","CARDOSO",TRUE,14,13.844793837393
"229","1999-12",1999,"Brazil","Cardoso",12,59,28,26,2,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",1999-12-14,"1999-4","CARDOSO",TRUE,14,16.1679691478911
"230","1999-12",1999,"Brazil","Cardoso",16,46,39,36,3,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",1999-12-15,"1999-4","CARDOSO",TRUE,14,16.1679691478911
"231","2000-01",2000,"Brazil","Cardoso",16,43,41,40,1,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",2000-01-18,"2000-1","CARDOSO",TRUE,16,16.3825672710577
"232","2000-02",2000,"Brazil","Cardoso",20,39,41,37,4,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"CARDOSO",2000-02-15,"2000-1","CARDOSO",TRUE,18,17.0236646638533
"233","2000-02",2000,"Brazil","Cardoso",16,49,35,33,2,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",2000-02-21,"2000-1","CARDOSO",TRUE,18,17.0236646638533
"234","2000-03",2000,"Brazil","Cardoso",18,43,39,37,2,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",2000-03-16,"2000-1","CARDOSO",TRUE,17,18.1195065434008
"235","2000-03",2000,"Brazil","Cardoso",16,51,33,31,2,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",2000-03-20,"2000-1","CARDOSO",TRUE,17,18.1195065434008
"236","2000-04",2000,"Brazil","Cardoso",14,51,35,34,1,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",2000-04-27,"2000-2","CARDOSO",TRUE,14,15.5665678177757
"237","2000-05",2000,"Brazil","Cardoso",20,45,35,32,3,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"CARDOSO",2000-05-15,"2000-2","CARDOSO",TRUE,17.5,16.7439741017435
"238","2000-05",2000,"Brazil","Cardoso",15,53,33,31,2,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",2000-05-23,"2000-2","CARDOSO",TRUE,17.5,16.7439741017435
"239","2000-06",2000,"Brazil","Cardoso",19,41,40,38,2,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Datafolha",NA,"CARDOSO",2000-06-20,"2000-2","CARDOSO",TRUE,16,18.0413975519087
"240","2000-06",2000,"Brazil","Cardoso",13,59,28,26,2,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",2000-06-26,"2000-2","CARDOSO",TRUE,16,18.0413975519087
"241","2000-07",2000,"Brazil","Cardoso",19,44,36,34,2,"Ot-Bom",NA,NA,NA,NA,"Vox",NA,"Rodrigues",NA,"CARDOSO",2000-07-31,"2000-3","CARDOSO",TRUE,19,18.6825497338739
"242","2000-08",2000,"Brazil","Cardoso",20,39,41,36,5,"Ot-Bom",NA,NA,NA,NA,"Ibope",NA,"Rodrigues",NA,"CARDOSO",2000-08-15,"2000-3","CARDOSO",TRUE,19.4,17.2050311120763
"243","2000-08",2000,"Brazil","Cardoso",18.8,39.3,41.9,39.1,2.8,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"CNT PDF Report",NA,"CARDOSO",2000-08-15,"2000-3","CARDOSO",TRUE,19.4,17.2050311120763
